"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 05 15:05:04 BST 2020","Tue May 05 15:05:05 BST 2020","1381","","","","","","Browse acutesttraining PUBLICA‌-1 issue (should fail)",""
"passed","Tue May 05 15:05:00 BST 2020","Tue May 05 15:05:04 BST 2020","3788","","","","","","Browse acutesttraining PUBLICA‌-1 issue",""
